,Ruimte,Straat en nummer,Postcode,Stad
0,deSingel - Blauwe zaal,Jan Van Rijswijcklaan 155,2018,Antwerpen
1,Sfinksvilla,Heuvelstraat 25 - 31,2530,Boechout
2,Cultuurpunt Altena,Antwerpsesteenweg 79,2550,Kontich
3,Oedenkovenstraat,,,Borgerhout
4,Elckerlyc Antwerpen,Frankrijklei 85/87,2000,Antwerpen
5,CC De Borre,Speelpleinstraat 10,3360,Bierbeek
6,Bourla,Jodenstraat 3,2000,Antwerpen
7,Moussem Nomadisch Kunstencentrum,Driekoningenstraat 126,2600,Berchem
8,OPEK,Vaartkom 4,3000,Leuven
9,UiThuis Hoboken,,,Hoboken
10,Parkloods Park Spoor Noord,,,Antwerpen
11,Bethanië Godsheide ,,,Hasselt
12,L'Eden,Boulevard Jacques Bertrand 3,6000,Charleroi
13,'T Paviljoentje,Kunstenstraat 4,,Menen
14,CDO,,,Oostende
15,Co Nova,Schrijfstraat 105,,Kiel
16,Cultuurcentrum Kortrijk,Schouwburgplein 14,8500,Kortrijk
17,Bibliotheek,,,Wetteren
18,Loods Terbekehof,,,Wilrijk
19,CC De Kruisboog,Minderbroedersstraat 15,3300,Tienen
20,Stuk - Soetezaal,Naamsestraat 96,3000,Leuven
21,Manège De Roterie,,,Kuurne
22,DE MAAN,Minderbroedersgang 1 & 3,2800,Mechelen
23,Zaal de Zonnebloem,Ieperstraat 35,8400,Oostende
24,CC 't Gasthuis,Gasthuistraat 22,3200,Aarschot
25,E.Laponstraat 6,,,Oostende
26,"Kasteel Beauvoorde, Koninklijke Academie voor Nederlandse Taal- en Letterkunde",,,Veurne
27,EVA Centrum,kattenberg 54,2180,Ekeren
28,kc nOna,Begijnenstraat 19-21,2800,Mechelen
29,Centre Culturel de Genappe,Rue de Bruxelles 14,1470,Genappe
30,Fakkelteater - Rode Zaal,Hoogstraat 12,2000,Antwerpen
31,Arca,Sint-Widowstraat 3,9000,Gent
32,Madam Fortuna - Werkplaats voor Kunsten,,,Borgerhout
33,Palais des Beaux-Arts,PLACE DU MANEGE ,6000,Charleroi
34,GC de Maalbeek,Oudergemselaan 90,1040,Etterbeek
35,Diontheater,St.-Camiullusstraat 29,2610,Wilrijk
36,Stadsschouwburg Sint-Niklaas,Van Britsomstraat 21,9100,Sint-Niklaas
37,Rataplan Theaterwerkplaats,Rodenbachstraat 19B,2140,Borgerhout
38,Ancienne Belgique,Anspachlaan 110,1000,Brussel
39,Stadspark,,,Lier
40,GC Everna,St-Vincentiusstraat 30,1140,Evere
41,Salon Bombardon,,,Schaarbeek
42,De Pit,Platteput 14,9255,Buggenhout
43,CC Meise,Brusselsesteenweg 69,1860,Meise
44,Jezusstraat 22,,,Antwerpen
45,op locatie,,,Antwerpen
46,Op locatie,,,Aartselaar
47,Stuk-Cars Verholen,Ijzerenlaan 5,,Antwerpen
48,Cinema Walburg,Kerkstraat 28,3930,Hamont-Achel
49,XAVERIUSCOLLEGE,,2140,Borgerhout
50,Bijloke,Bijlokekaai 7,9000,Gent
51,CC Hasselt - Kleine Schouwburg,Kunstlaan 5,3500,Hasselt
52,AMUZ,,,Antwerpen
53,Conservatorium Gent,Hoogpoort 64,9000,Gent
54,A. Van Imschootschool,,,Oostende
55,Elysée,,,Oostende
56,Begijnhof Lier,,,Lier
57,Op locatie,,,Wevelgem
58,Charleroi Danses,,,Charleroi
59,CC 't Groenendal,Brandgems Ham 5,9820,Merelbeke
60,Oostends Varieté Theater,Cristianastraat 20,8400,Oostende
61,Monty,MONTIGNYSTRAAT 3,2018,Antwerpen
62,De School van Gaasbeek,,,Gaasbeek
63,Espace Senghor,,,Bruxelles
64,Mu.Zee,,,Oostende
65,CC De Grote Post,,,Oostende
66,Kraakhuis,,,Gent
67,Wagehuys,Brusselsestraat 63,3000,Leuven
68,Byrrhamide,Arianelaan 12,1200,Brussel
69,Theater aan de Stroom,Ijzerenwaag,2000,Antwerpen
70,La Scène Bocage,,,Herve
71,CC Acci,,,Ieper
72,Wereldculturencentrum Zuiderpershuis,Timmerwerfstraat 40,2000,Antwerpen
73,De Scala,Pluimstraat 7,8500,Kortrijk
74,CC Anzegem,,,Anzegem
75,CC Mortsel,Heilig Kruisstraat 16,2640,Mortsel
76,Kasteel van Gaasbeek,,,Gaasbeek
77,OSRE,,,Oostende
78,OC Deerlijk,Hoogstraat 122,8540,Deerlijk
79,Kaaistudio's,O.L.V. van Vaakstraat 83,1000,Brussel
80,Middelheimpark,Middelheimlaan 61,2020,Antwerpen
81,Bibliotheek Halle,,,Halle
82,CC Knokke-Heist,,,Knokke-Heist
83,NTGent: Schouwburg,Sint-Baafsplein 17,9000,Gent
84,Provinciaal Instituut Sint-Godelieve,,,Deurne
85,Muntpaleis Tour & Taxis,,,Brussel
86,Halles de Schaerbeek,Rue de la Constitution 20,1030,Schaerbeek
87,CC De Ster,,,Willebroek
88,La Montagne Magique,Broekstraat 57,1000,Brussel
89,Burg,,,Brugge
90,"Sint-Elisabethkerk, Klein Begijnhof",Lange Violettestraat 235,9000,Gent
91,Marien Station,,,Oostende
92,Arenbergschouwburg,Arenbergstraat 28,2000,Antwerpen
93,Muntplein,,,Brussel
94,Stadsschouwburg Antwerpen,MEISTRAAT 2,2000,Antwerpen
95,CAZ,,,Oostende
96,Zinnema,Veeweidestraat 24-26,1070,Brussel
97,Koor Cultuurcentrum,Minderbroedersgang 5,2800,Mechelen
98,Birminghamstraat 131,,,Anderlecht
99,NONA,,,Mechelen
100,CC Aarschot,Gasthuistraat 22,3200,Aarschot
101,ruimte onbekend,,9860,Oosterzele
102,De Rijtuigmakerij,Kattenberg 79-81,2140,Borgerhout
103,Sint-Janshuis,,,Kortrijk
104,CC Den Blank,Begijnhof  11,3090,Overijse
105,Argos,"Av. Franklin Roosevelt, 138",1050,Brussel
106,Kunstacademie Aan Zee,,,Oostende
107,Decordepot Molenbeek,,,Brussel
108,Patisserie Van den Berghe,,,Oostende
109,Kuub,,,Turnhout
110,"t,arsenaal mechelen",Hanswijckstraat 63,2800,Mechelen
111,JOC Ieper,Fochlaan 3,8900,Ieper
112,Koninklijk Atheneum Antwerpen,F. ROOSEVELTPLEIN 11,2000,Antwerpen
113,HOF TER LO,,2140,Borgerhout
114,Théâtre Le Manège,Rue des soeurs noirs 4a,7000,Mons
115,Museum Dr. Guislain,Jozef Guislainstraat 43,9000,Gent
116,Fort 8,,,Hoboken
117,Zolder van het vleeshuis,Grote Markt,,Lier
118,Stadspark,,,Hasselt
119,Op locatie,,,Mol
120,Kade Kanaal van Willebroek,,,Willebroek
121,Theater Froe Froe,Namenstraat 7,2000,Antwerpen
122,Flageygebouw,,1050,Elsene
123,Charliermuseum,Kunstlaan 16,1210,Sint-Joost-ten-Node
124,CC Hof Ten Hemelrijck,Kloosterstraat 7,1745,Opwijk
125,Dienstencentrum Oversnes,,,Wilrijk
126,Slipwaykaai,,,Oostende
127,LOD Studio,Bijlokekaai 7,9000,Gent
128,theaterMalpertuis,Stationstraat 25,8700,Tielt
129,Coyendanspark,,,Gent
130,Muziekodroom,,,Hasselt
131,Troubleyntheater,Pastorijstraat 23,2060,Antwerpen
132,zaal platform,Meuleschettestraat 32,9300,Aalst
133,'t Goed ter Heule,Dronckaertstraat 665,,Lauwe
134,BRONKS,Varkensmarkt 15-17,1000,Brussel
135,"Nijverheidskaai 170, Blok C",,1070,Anderlecht
136,Op locatie,,,Brussel
137,CC Brecht,Mudaeusstraat 7Z,2960,Brecht
138,Cultuurcentrum Brugge,Sint-Jakobsstraat 20-26,8000,Brugge
139,Recyclart,Ursulinenstraat 25,1000,Brussel
140,CC Den Amer,,,Diest
141,"Theater op zolder, Bourla",KOMEDIEPLEIN 18,2000,Antwerpen
142,GC Tervuren,,,Tervuren
143,Beursplein/Place de la Bourse,,,Brussel
144,CC Strombeek,Gemeenteplein z/n,1853,Strombeek-Bever
145,GC De Rinck,Kapittelstraat 1,1070,Anderlecht
146,Café Koer,Leopoldpark,,Oostende
147,CC 't Vondel,Grote Markt 1 bus 2,1500,Halle
148,GC Jan vander Noot,Mudaeusstraat 9,2960,Brecht
149,Tweekerkenstraat 81,Tweekerkenstraat 81,1210,Sint-Joost-ten-Node
150,Kaaitheaterstudio's,OLV. Van Vaakstraat 83,1000,Brussel
