organisatie_id,relatie,value
370945,naam,NTGent
370945,oprichtingsdatum,NA
370945,einddatum,NA
370945,activiteitenstart,NA
370945,activiteiteneinde,NA
370945,locatie,Gent
370945,land,België
370945,Onderdeel van_124,Wunderbaum_371033
370945,Voortgezet als_127,Publiekstheater_369514
370945,website,http://www.ntgent.be/
370945,archiefwebsite,
363214,naam,Toneelhuis
363214,oprichtingsdatum,1998-07-01 00:00:00
363214,einddatum,NA
363214,activiteitenstart,NA
363214,activiteiteneinde,NA
363214,locatie,Antwerpen
363214,land,België
363214,Afsplitsing van_125,JAN vzw_371441
363214,Afsplitsing van_125,Eastman_372281
363214,Afsplitsing van_125,OMSK_372233
363214,Afsplitsing van_125,Service To Others_372052
363214,Afsplitsing van_125,de Filmfabriek_367044
363214,Werkt samen met_129,Olympique Dramatique_368779
363214,Voortgezet als_127,Het Toneelhuis_371481
363214,Werkt samen met_129,FC Bergman_372075
363214,website,http://www.toneelhuis.be
363214,archiefwebsite,
363497,naam,Kaaitheater
363497,oprichtingsdatum,1977-01-01 00:00:00
363497,einddatum,NA
363497,activiteitenstart,NA
363497,activiteiteneinde,NA
363497,locatie,Brussel
363497,land,België
363497,Werkt samen met_129,Tristero_362957
363497,Werkt samen met_129,ZOO_363228
363497,Werkt samen met_129,Damaged Goods_362862
363497,Festival van_128,Spoken World Festival_372275
363497,Werkt samen met_129,A Two Dogs Company_372404
363497,Werkt samen met_129,Mokum vzw_371910
363497,Werkt samen met_129,The Jonathan Burrows Group_368659
363497,Werkt samen met_129,WorkSpaceBrussels - Brusselse Werkplaats voor Podiumkunsten_371645
363497,Werkt samen met_129,Het Theaterfestival Vlaanderen vzw_368335
363497,Festival van_128,Performatik_372815
363497,Festival van_128,Burning Ice_372982
363497,Festival van_128,Re:Move_372344
363497,Werkt samen met_129,Kaaitheatercafé_367031
363497,Heeft als festival_128,WoWmen!_374008
363497,website,http://www.kaaitheater.be
363497,archiefwebsite,
379035,naam,De Singel
379035,oprichtingsdatum,NA
379035,einddatum,NA
379035,activiteitenstart,NA
379035,activiteiteneinde,NA
379035,locatie,
379035,land,NA
379035,website,
379035,archiefwebsite,
374188,naam,Opera Vlaanderen
374188,oprichtingsdatum,NA
374188,einddatum,NA
374188,activiteitenstart,NA
374188,activiteiteneinde,NA
374188,locatie,Gent/Antwerpen
374188,land,België
374188,Voortgezet als_127,Vlaamse Opera (Gent)_365224
374188,Heeft als onderdeel_124,Kunsthuis Opera Ballet Vlaanderen_374190
374188,Voortgezet als_127,Vlaamse Opera_362321
374188,website,https://operaballet.be/nl
374188,archiefwebsite,
