premierelocatie_id,relatie,value
139000,naam,BE Festival
139000,adres,
139000,stad,Birmingham
139000,postcode,None
139000,land,Groot-Brittannië
134682,naam,Mozaïek
134682,adres,Overleiestraat 15 A
134682,stad,Kortrijk
134682,postcode,8500
134682,land,België
139601,naam,Opera Gent
139601,adres,
139601,stad,Gent
139601,postcode,None
139601,land,België
134873,naam,Our House
134873,adres,None
134873,stad,Winterslag
134873,postcode,3600
134873,land,België
134507,naam,L'Eden
134507,adres,Boulevard Jacques Bertrand 3
134507,stad,Charleroi
134507,postcode,6000
134507,land,België
139774,naam,Op locatie
139774,adres,
139774,stad,Mure Argens
139774,postcode,None
139774,land,Frankrijk
137946,naam,Feestzaal Koninklijk Atheneum
137946,adres,Gilainstraat 70
137946,stad,Tienen
137946,postcode,3300
138007,naam,Centre choréographique national
138007,adres,
138007,stad,Rillieux la Pape
138007,postcode,None
138007,land,Frankrijk
139291,naam,PETA Theater Center
139291,adres,
139291,stad,Manila
139291,postcode,None
139291,land,Filippijnen
139432,naam,UWC-Senate-Hall
139432,adres,
139432,stad,Kaapstad
139432,postcode,None
139432,land,Zuid-Afrika
135955,naam,Cultuurcentrum Kortrijk
135955,adres,Schouwburgplein 14
135955,stad,Kortrijk
135955,postcode,8500
135955,land,België
136704,naam,Den Kongelige Opera
136704,adres,Ekvipagemestervej 10
136704,stad,Kobenhavn
136704,postcode,1438
136704,land,Denemarken
133992,naam,De Peer/Nieuwe Graanmarkt
133992,adres,Nieuwe Graanmarkt
133992,stad,Brussel
133992,postcode,1000
133992,land,België
140398,naam,CDC l'échangeur
140398,adres,
140398,stad,Château-Thierry
140398,postcode,None
140398,land,Frankrijk
135082,naam,CC Het Spoor
135082,adres,Eilandstraat 6
135082,stad,Harelbeke
135082,postcode,8530
135082,land,België
140212,naam,City Theater
140212,adres,
140212,stad,Tehran
140212,postcode,None
140212,land,Islamitische Republiek Iran 
135182,naam,Forum Culturel
135182,adres,None
135182,stad,Le Blanc-Mesnil
135182,postcode,None
135182,land,Frankrijk
140406,naam,Azkuna Zentroa
140406,adres,
140406,stad,Bilbao
140406,postcode,None
140406,land,Spanje
132554,naam,The Kitchen
132554,adres,512 WEST 19TH STREET
132554,stad,New York
132554,postcode,NY 10011
132554,land,Verenigde Staten van Amerika
131973,naam,ruimte onbekend
131973,adres,None
131973,stad,Deerlijk
131973,postcode,8540
131973,land,België
136209,naam,Festival des arts vivants
136209,adres,None
136209,stad,Nyon
136209,postcode,None
136209,land,Frankrijk
137030,naam,Brigittinenkapel
137030,adres,None
137030,stad,Brussel
137030,postcode,None
137030,land,België
134510,naam,Théâtre National de Toulouse
134510,adres,1 rue Pierre Baudis
134510,stad,Toulouse
134510,postcode,310009
134510,land,Frankrijk
139894,naam,Ruimte onbekend
139894,adres,
139894,stad,Angers
139894,postcode,None
139894,land,Frankrijk
136137,naam,La Condition Publique
136137,adres,None
136137,stad,Roubaix
136137,postcode,59100
136137,land,Frankrijk
133839,naam,Tafelhalle
133839,adres,Äussere Sulzbacher Str. 60-62
133839,stad,Nürnberg
133839,postcode,90491
133839,land,Duitsland
139832,naam,Mole Vanvitelliana
139832,adres,
139832,stad,Ancona
139832,postcode,None
139832,land,Italië
135944,naam,Op locatie
135944,adres,None
135944,stad,Berchem
