subsidie_id,relatie,value
14458,subsidiesysteem,Projecten dans_613
14458,organisatie,Cultuurcentrum Hasselt_363357
14458,beginjaar,2006
14458,eindjaar,2006
14458,subsidietype,projectbeurs_4
14458,subsidiecomite,dans_11
14458,subsidiërende instantie,Kunstendecreet_1
14460,subsidiesysteem,Projecten dans_613
14460,organisatie,The Other_371332
14460,beginjaar,2006
14460,eindjaar,2006
14460,subsidietype,projectbeurs_4
14460,subsidiecomite,dans_11
14460,subsidiërende instantie,Kunstendecreet_1
14461,subsidiesysteem,Projecten dans_613
14461,organisatie,deepblue_370514
14461,beginjaar,2006
14461,eindjaar,2006
14461,subsidietype,projectbeurs_4
14461,subsidiecomite,dans_11
14461,subsidiërende instantie,Kunstendecreet_1
14462,subsidiesysteem,Projecten dans_613
14462,organisatie,deepblue_370514
14462,beginjaar,2006
14462,eindjaar,2006
14462,subsidietype,projectbeurs_4
14462,subsidiecomite,dans_11
14462,subsidiërende instantie,Kunstendecreet_1
14463,subsidiesysteem,Projecten dans_613
14463,organisatie,Kobalt Works_369121
14463,beginjaar,2006
14463,eindjaar,2006
14463,subsidietype,projectbeurs_4
14463,subsidiecomite,dans_11
14463,subsidiërende instantie,Kunstendecreet_1
14465,subsidiesysteem,Projecten dans_613
14465,organisatie,Peeping Tom_369908
14465,beginjaar,2006
14465,eindjaar,2006
14465,subsidietype,projectbeurs_4
14465,subsidiecomite,dans_11
14465,subsidiërende instantie,Kunstendecreet_1
14467,subsidiesysteem,Projecten dans_613
14467,organisatie,Continuum_369178
14467,beginjaar,2006
14467,eindjaar,2006
14467,subsidietype,projectbeurs_4
14467,subsidiecomite,dans_11
14467,subsidiërende instantie,Kunstendecreet_1
14469,subsidiesysteem,Projecten dans_613
14469,organisatie,Cacao Bleu_371347
14469,beginjaar,2006
14469,eindjaar,2006
14469,subsidietype,projectbeurs_4
14469,subsidiecomite,dans_11
14469,subsidiërende instantie,Kunstendecreet_1
14470,subsidiesysteem,Projecten dans_613
14470,organisatie,Retina Dance Company_363170
14470,beginjaar,2006
14470,eindjaar,2006
14470,subsidietype,projectbeurs_4
14470,subsidiecomite,dans_11
