,Lijst van organisaties,Count van producties
0,Action Scénique,30
1,Rimlight Productions vzw,1
2,Sabbattini Mimetheater,11
3,Stichting de MOL,5
4,Cie Greffe,5
5,Koninklijke Vlaamse Schouwburg - KVS,320
6,Triptych,2
7,Asansör,2
8,Compagnie Circ'Ombelico,4
9,Cie TransatlantiK,1
10,Museum M,2
11,Joinda,1
12,JAN vzw,14
13,Don't forget to be noir,1
14,Mahaworks,2
15,Hardscore,2
16,Big in Belgium,1
17,Sint-Lucas Architectuur,1
18,Eigentijdse Werkgroep Teater (EWT),41
19,Blauw Vier,47
20,Evaporation,1
21,De Forenzen vzw,1
22,Ballet Najade vzw,2
23,De Bank,22
24,Nadine,30
25,Mulder & De Roeck,1
26,De Mannschaft,2
27,Bodyrefuse,1
28,Circo Ripopolo,5
29,Het Gouden Hart,4
30,Théâtre de Galafronie,1
31,Wolvin vzw,3
32,LAZARUS,33
33,Werktank,1
34,Nederlands Toneel Gent,79
35,Theater Antigone,146
36,Maquette vzw,3
37,KunstZ,15
38,Mechels Jeugdtheater,6
39,de Filmfabriek,12
40,Théâtre des 4 mains,3
41,Teater Prometheus,1
42,Rubus Productions,2
43,De gebroeders Boudewijn,8
44,into ici,2
45,Theater Teater,12
46,Barrik Barrak,2
47,Ultima Thule,105
48,"Wo Bist, Ist",1
49,Action Zoo Humain,19
50,Eftuentafel,1
51,Brasart,1
52,Wortel,1
53,Babelut,4
54,Eisbär,8
55,Usage Externe,1
56,Playground,1
57,SINCOLLECTIEF,13
58,Sandberg,1
59,JazzLab Series,2
60,Theater Mutant,2
61,CC De Ploter,3
62,Kommil Foo,8
63,De kleine expeditie,1
64,Tank!,7
65,Eve vzw/asbl,4
66,Teater Pepijn,20
67,Koninklijke poppenschouwburg Van Campen,17
68,Platform-K vzw,11
69,Nabla vzw,1
70,Woesh,6
71,Theater Stap,72
72,Wiels,3
73,Cie. Covar,5
74,Los cojones del toro,6
75,Liaisons dangereuses,3
76,Les SlovaKs Dance Collective,16
77,wpZimmer,106
78,Théâtre de la Place,1
79,De vrije radicalen,2
80,Dust Timing vzw,1
81,Artesis - Koninklijk Conservatorium Campus Studio,5
82,Vlinders,1
83,Maison du Spectacle - la Bellone,1
84,Latrinité,9
85,Klara,2
86,Hogeschool Gent - Koninklijke Academie voor Schone Kunsten (K.A.S.K.),7
87,Collectief Theater Hart,2
88,CC Strombeek,2
89,Koninklijke Nederlandse Schouwburg,14
90,Toneelgroep Nunc,34
91,HETPALEIS,288
92,Radical Low / CYZ,10
93,Thakafa 11,2
94,CC De Velinx,9
95,Muziektheater van Zilverpapier,12
96,De Verwondering,3
97,AMUZ,1
98,Torka T.,13
99,Rebecca September,5
100,Opera XXI,2
101,Berlin,56
102,Zamzam,7
103,JESSA,6
104,E.L.S.,1
105,Joe Baele,1
106,Théâtre Epique,1
107,Recyclart,2
108,Cie Tartaren,19
109,Kunstencentrum Belgie,23
110,Radical HeArts vzw,5
111,Stad Leuven,1
112,Casa Blanca,2
113,Nova Zembla,20
114,GoodMove,30
115,De Ingebeelden,1
116,Wolff,4
117,Brussels Philharmonic - Vlaams Radio Orkest,1
118,B'Rock Orchestra,9
119,Comp.Marius,53
120,Prefab,1
121,Brugge 2002,4
122,KOPERGIETERY,226
123,fieldworks vzw,32
124,BOX-Baroque Orchestration X,1
