,Lijst van personen
0,James Brown
1,Koen Verhaeghe
2,Maarten Devillé
3,Raf De Keninck
4,Frederique Sluyterman Van Loo
5,Rick Owens
6,Katrien Dekeyser
7,Krispijn Schuyesmans
8,Wim Henderickx
9,Nicolas Delalieux
10,Stéphane Bonard
11,Sam Van Ryssel
12,Michal Wrobel
13,Stefan Soltesz
14,Dorcy Rugamba
15,Anna Jörgensen
16,Armand Vanderschelden
17,Viviana Moin
18,R'm Aharoni
19,Ramsey Nasr
20,Sophie Schafleitner
21,Steven Reymer
22,Anne Thyaut
23,Damien Pass
24,Victor Hugaert
25,Pascal Verscheure
26,Vincent Numan
27,Raphaëla Boudewijns
28,Frauke Baeyens
29,Joe Corbett
30,Jorrit Boonstra
31,Nicolas-François Guillard
32,Leila Chahid
33,Frans Strijards
34,Nikolaas Kende
35,Ligia Manuela Lewis
36,Michael Hofstetter
37,Feruccio Soleri
38,Liv-Hanne Haugen
39,Lajos Kovacs
40,Gunnar Brandt-Sigurdsson
41,Laurence Hermant
42,Suzanne Van den Booren
43,Anthony Foladore
44,David Stevens
45,Isaac Bama
46,Arthur Miller
47,Lidia Van Hoorde
48,Monika Rinck
49,Ana Van Aerden/Spazova
50,Jan Vanhulle
51,Sabien Rasschaert
52,Lenneke Rasschaert
53,Miep Embrechts
54,Bohuslav Martinu
55,Nuno Almeida
56,Jonas Vandermeersch
57,Geert Jacobs
58,Vernon Scott
59,Francisco Pedro
60,Anne Habermann
61,Manfred Kaderk
62,Majid Ghadiri
63,Free Souffriau
64,Milo Petrovic
65,Maria Blondeel
66,Georgina del Carmen Teunissen
67,Marina Bouré
68,Christine Goris
69,Harm Witteveen
70,Mirella Hagen
71,Andreas Grüter
72,Rudy Voets
73,Géraldine Meslier
74,Miet Warlop
75,Paul Cassiers
76,Thomas Stearns Eliot
77,Rudi Delhem
78,Renate De Sutter
79,Valérie Jung
80,Michel Suppes
81,Mieke Stoops
82,Alexia Leysen
83,Marleen Maes
84,Helga Van Der Heyden
85,Shintaro Que
86,Sasha Waltz
87,François Marechal
88,Pol Vanfleteren
89,Charôn Van Praet
90,Kuno Bakker
91,Lies Vanboren
92,Patrick Romain
93,Heleen Mercelis
94,Hugo Von Hofmannsthal
95,Sonja Van Praet
96,Charles De Meester
97,Hervé Guilloteau
98,Hussein Kamel
99,Petra Serwe
100,Emilie Lauwers
101,Marga Peters
102,Raf Geudens
103,Stella Spitaleri
104,Griet Vanderspikken
105,Marthinus Basson
106,Harold Mertens
107,Elena Zaremba
108,Gaseul Son
109,Sara Mingardo
110,Michiel Voet
111,Jaap Toet
112,Max Van Weegberg
113,Margot De Group
114,Delphine Bibet
115,Annick Van Braak
116,Michaël Carstens
117,Saskia Valk
118,Milan Warmoeskerke
119,Deniz Polatoglu Colen
120,David Moons
121,David Maillard
122,Gerbe Fonteyne
123,Sabri Schumacher
124,Natalie Biro
125,Bieke Brunin
126, Malumba
127,Noémie Schellens
128,Coralie Vanderlinden
129,Marieke Lust
130,Clément Layes
131,Lez Brotherston
132,Pablo Haras-Casado
133,Frank Daniëls
134,Eike Wittrock
135,Wojciech Dziedzic
136,Boy Raaymakers
137,Guy Seghers
138,Jan Van Roey
139,Bruno De Busschere
140,Ingo Krügler
141,Derek Blyth
142,Maryvonne Deprez
143,Lorelei Dowling
144,Jan Vereecken
145,Greg Timmermans
146,Pia Van Der Pluijm
147,Martin Forsberg
148,Octavio Iturbe
149,Rafael Padilla
150,Chris Van der Fluwera
151,Astrid Yskout
152,Elke Blocken
153,Eddy Latine
154,Dave Sinardet
155,Guido Serpieters
156,Kirsten Lauriks
157,Saad Ibraheem
158,Eva Van Leuven
159,Karla Persyn
160,Anna Rita Taliento
161,Pierre Bastin
162,Hannes Soetaert
163,Sylvain Fasy
164,Wim De Winne
165,Hannah Chebaro
166,Alen Celic
167,Andrei Bestchastny
168,Peter Ceustermans
169,Patrick Bannwart
170,Simon Carmiggelt
171,Carlo Gozzi
172,Geert Defour
173,Min Hee Bervoets
174,Maggy Jacot
175,Frank Paemeleire
176,Timme Afschrift
177,Barbara Madra
178,Kim Cras
179,Matthieu Sys
180,Amy Johnson
181,Lotte Kerremans
182,Frank Hameleers
183,Mane Verschueren
184,Ragna Aurich
185,Alain Planès
186,Ivo De Greef
187,Gloria Boateng
188,Miroslav Krleza
189,Anthony Michaels-Moore
190,Jannes Dierynck
191,Luk Moens
192,Pol Segers
193,Dion Lunadon
194,Robbert Muuse
195,Pierre Dherte
196,Bruno Freire
197,Dirk Ceulemans
198,Jim Tonik
199,Abdembi Azzaoui
200,Zygmunt Kowalski
201,Esmé Bos
202,Botho Strauss
203,Thomas De Vos
204,Rik Vanderheyden
205,Maria Vermeulen
206,Natalie Glas
207,Jeffrey Thompson
208,Jean-Pierre Collot
209,Nina Gundlach
210,Walter Augustijnen
211,Noortje Vervoort
212,Kurt Melens
213,Johan Vonk
214,Koen Dillien
215,Carsten Stabell
216,Claudio Stellato
217,Jowan Meckx
218,Dirk Vervaet
219,Karen Bathke
220,Koen Cosyns
221,Pieter Korteknie
222,Sharon Keating
223,Jasper Demuynck
224,Krisztina De Châtel
225,Hélène Cordier
226,Christophe Lemmens
227,Ellen Vervaet
228,Marek Gasztecki
229,Marjolein Elsink
230,Joao Pedro Cabral
231,Yijie Shi
232,Annamirl Van Der Pluijm
233,Agathe Mélinand
234,Marleen Stevens
235,Francesco Ellero d'Artegna
236,Gerold Guthman
237,Bill Barberis
238,Marleen De Bruyne
239,Mattias De Meulenaere
240,Sanne Weber
241,Benjamin Britten
242,Pieter-Jan Hamels
243,Jan Darden
244,André Jung
245,Jip van den Dool
246,Beau Palmer
247,Aaron Defossez
248,Eva van de Wijdeven
249,Kees Van De Lagemaat
250,Sheva Tehoval
251,Sarah Geirnaert
252,Leen Roels
253,Michaël Goris
254,Bert Geets
255,Catherine Mertens
256,Andrea Leine
257,Moussa Dembélé
258,Alexandra Aerts
259,Aat Ceelen
260,Bern Van Deun
261,Silke Vanhoof
262,Tatiana Lisnic
263,Lambert Colson
264,Veerle Van Gorp
265,Yousra Godefroot
266,Luth Lea Roose
267,Pascal Molat
268,Anthony Caillet
269,Klas Hedlund
270,Jonas Van Geel
271,Philip Manpuya
272,Johan Thelander
273,Stefaan Degand
274,Marianne Burgers
275,Valerie Valentine
276,Annemieke Schoorel
277,Diane Fourdrignier
278,Elena Amoah
279,Simon Van der Beken
280,Konstantina Efthimiadou
281,Wendy Ghysels
282,Anouck Luyten
283,André Vierendeels
284,Pierre-Jorge Gonzalez
285,Linda Lepomme
286,Ingrid Jonkers
287,Mustafa J. Aldoujaily
288,Anke Blondé
289,Kristel De Hert
290,Carolina Mantovano
291,Eva Freitag
292,Raymond Mallentjer
293,Yvan Pype
294,Dagmar Blommaert
295,Stefan Kocan
296,Berten Larnout
297,Terry Johnson
298,Stijn Lauwereins
299,Jean-Pierre Vergier
300,Wolf Erlbruch
301,Dennis Tyfus
302,Dirk Loomans
303,Joris Derder
304,Alain Altinoglu
305,Frank Hofmans
306,Immele Bosman
307,Sjoerd Bruil
308,Eliot Lawson
309,Anne Herbauts
310,Franz Peter Kien
311,Eline Duerinck
312,Alessandro Bernardeschi
313,Meir Shalev
314,Pascal Decypere
315,Vladimir Samsonov
316,Umberto Fiori
317,Lea Van Landeghem
318,Laurent Fobelets
319,Laura Claycomb
320,Riina Huhtanen
321,No Reguibi
322,Soufian Arbaoui
323,Geert Braellens
324,Gong Dong-Jian
325,Martin Kilvády
326,Carl Haffner
327,Yoeri Lewijze
328,Min Pauwels
329,Will-Jan Pielage
330,David Pittman-Jennings
331,Barbara Rom
332,Bejun Mehta
333,Garry Stewart
334,Natasha Young
335,Wouter Van Looy
336,Saskia Hofman
337,Dirk Boutkan
338,Nathalie De Cooman
339,Jan Schouppe
340,Veerle Ceulemans
341,Michael Maurissens
342,Tanya Hermsen
343,Alfred Reiter
344,Woody Allen
345,Katrien Bruyneel
346,Gino Waem
347,Winne Vanacker
348,Yvan Auzely
349,Bas Banen
350,Dirk Fiems
351,Caroline Daish
352,Claire Goll
353,Günter Missenhardt
354,Laetitia Yalon
355,Ariel Dorfman
356,Charles Hargrove
357,Tom Van Dyck
358,An Van Dienderen
359,Guy Van Waas
360,Marcelle Meuleman
361,Manjunath B Chandramouli
362,Dirk Vercruysse
363,Mary Katherine McNamara
364,Jeong Eon-Ji
365,Joke Verreth
366,Bruno Nelissen
367,Tristan Versteven
368,Severine Tessa Kolt
369,Erna Palsterman
370,Manolo Ricci
371,Léone François
372,Marijke Coornaert
373,Carmen Fuggiss
374,Leto Keunen
375,Séraphine Stragier
376,Nicoline Dossche
377,Leonard Nolens
378,Klara Ek
379,Rupert Enticknap
380,Michelle Sheridan
381,Marianne Van Hoe
382,Richard Murphet
383,Mirella Ruigrock
384,Roland Haufe
385,Roel Ryssenbeek
386,Andrea Marchiol
387,Miroslav Kochánek
388,Maarten Van Cauwenberghe
389,Simon Van Hueting
390,Anne Adé
391,Philippe De Grave
392,Oliver Tida
393,Jan Bosschaerts
394,Sara Lima
395,Eppe Slijderinck
396,Jamy Hollebeke
397,Christian Lacroix
398,Chiharu Sakazaki
399,Dewi Aryani Kadek
400,Genadijus Bergorulko
401,Robert Benschop
402,Ludo Janssens
403,Rolf Heyer
404,Larbi Ajabboune
405,Elena Van Leuven
406,Sabine Garrone
407,Elias De Bruyne
408,Arend Peeters
409,Muriel Derden
410,Feike Looyen
411,Jurgen Huybrechts
412,Ollivier Masureel
413,Ludovic Wystraete
414,Catherine De Coster
415,Cédric Cooman
416,Gerhard Richter
417,Doortje Misschaert
418,Lieve Franssen
419,Benjamin Timmermans
420,Tobe Baeyens
421,Damien Cooper
422,Leen Van Den Eynde
423,Jesper Kongshaug
424,Andriy Yurkevych
425,Nick Symons
426,Edwin Vandendoes
427,Jessa Wildemeersch
428,Holger Lindmüller
429,Akram Khan
430,Veva Daniëls
431,Leen Van Den Berg
432,Eline Ruëll
433,Candy Saulnier
434,Stefanie Van Pelt
435,Yuki Hori
436,Khanh Le Thanh
437,Norman Bonink
438,Bart Peeters
439,Tom Bruneel
440,Berit Stumpf
441,Patricia Kargbo
442,Alexander Ekman
443,Marijke Michiels
444,Gillian Covel
445,Katja Saponjic
