,Lijst van organisaties,Stad,Land,Postcode,Count van producties
0,Rebecca September,Brussel,België,,5
1,Spielmann vzw,,België,,1
2,B'Rock Orchestra,Gent,België,,9
3,Athome,Brussel,België,,24
4,Jamaa El Irakya,Antwerpen,België,,5
5,Rimlight Productions vzw,Lokeren,België,,1
6,Cirq'ulation Locale,Sint-Kruis,België,,5
7,Het Sienjaal,Laarne,België,,2
8,Werktank,Leuven,België,,1
9,Niels asbl,Brussel,België,,6
10,KOPERGIETERY,Gent,België,,227
11,Danscentrum Jette,Sint-Jans-Molenbeek,België,,5
12,Asbest Theater-Producties,Hasselt,België,,3
13,Studio Eclipse,Belsele,België,,13
14,Hun-Tun vzw,Antwerpen,België,,4
15,Ancienne Belgique (AB),Brussel,België,,1
16,Het Firmament,Mechelen,België,,5
17,productiehuis padarijs,Beringen,België,,8
18,Fakkelteater,Antwerpen,België,,9
19,Geert Genbrugge,Antwerpen,België,,1
20,Dwama,Antwerpen,België,,8
21,Mark Verstraete,Antwerpen,België,,3
22,Vanelle,Burcht,België,,6
23,Verenigde werkhuizen Thassos v.z.w.,Borgerhout (Antwerpen),België,,4
24,RUDA asbl,Bruxelles,België,,2
25,zie!duif,Antwerpen,België,,3
26,Laika,Antwerpen,België,,149
27,Doble Mandoble,Brussel,België,,1
28,CC De Velinx,Tongeren,België,,9
29,lAmpekAp,Antwerpen,België,,4
30,Kunstencentrum Belgie,Hasselt,België,,23
31,Theater Antigone,Kortrijk,België,,149
32,Darm vzw,Sint-Amandsberg,België,,3
33,Ensemble KNS - Raamteater,Antwerpen,België,,12
34,SKaGeN,Antwerpen,België,,51
35,Het ij,Gent,België,,1
36,Silence Fini,Gent,België,,5
37,Violetta,,België,,1
38,Jef Demedts (vzw),Zwijnaarde,België,,2
39,HIROS,Brussel,België,,43
40,In vitro,Gent,België,,6
41,Godarville asbl,,België,,1
42,CC Berchem,Berchem,België,,6
43,Théâtre Des 2 Eaux,Bruxelles,België,,3
44,De Mannschaft,,België,,2
45,De Parade,Sint-Joost-ten-Node,België,,57
46,Wurre Wurre,Gent,België,,10
47,ZOO,Brussel,België,,77
48,Bloet,Elsene,België,,25
49,Collectief Theater Hart,Brussel,België,,2
50,Janus-Ensemble,Oosterzele,België,,17
51,Wolven vzw,Antwerpen,België,,2
52,Klara,Brussel,België,,2
53,Detlev,Mechelen,België,,1
54,JOC Ieper,Ieper,België,,1
55,Salva Sanchis,Brussel,België,,11
56,2fabrieken,Antwerpen,België,,10
57,Het Betoog,Tienen,België,,11
58,Toneelgroep Ceremonia,Gent,België,,77
59,Riina Saastamoinen,,België,,2
60,Tine Ruysschaert,De Pinte,België,,21
61,Swan Lake,Gent,België,,11
62,Vlinders,Brussel,België,,1
63,JAN vzw,Antwerpen,België,,14
64,Service To Others,Hasselt,België,,3
65,Cie MoSTeRD MeT ZaaD,Gent,België,,1
66,XL productions,Gent,België,,6
67,XL Productions - Theaterimpresariaat XL & Lapinne,Sint-Martens-Latem,België,,1
68,Mars,Borgerhout,België,,30
69,Sarma,Brussel,België,,1
70,De eibakkerij,,België,,1
71,De Bank,Gent,België,,22
72,Bent Object,Brussel,België,,4
73,Time Festival,Gent,België,,11
74,Ink,Meeuwen-Gruitrode,België,,2
75,Het Gerucht,Kortenaken,België,,1
76,Fiëbre,Antwerpen,België,,2
77,Wolff,Antwerpen,België,,4
78,Los cojones del toro,Schaarbeek,België,,6
79,Galacticamendum,Gent,België,,2
80,Dirc Kauba Dance Company,Brussel,België,,1
81,Ronald Van Rillaer,Schoten,België,,4
82,Les SlovaKs Dance Collective,Brussel,België,,16
83,De Factorie,Kasterlee,België,,6
84,Twijfel,Mariakerke (Gent),België,,15
85,Quatuor Danel,Brussel,België,,1
86,Anno '8,Maasmechelen,België,,2
87,La Barca Ensemble,Oudergem,België,,3
88,La Compagnie Victor,Bruxelles,België,,2
89,The Nursery,Brussel,België,,1
90,Jong Bloed,Kortrijk,België,,6
91,Anatolie Toneel Groep,Antwerpen,België,,2
92,Wild Schaap,,België,,1
93,Het Entrepot,Brugge,België,,2
94,Koninklijk Conservatorium - afd. Drama,Sint-Genesius - Rode,België,,1
95,Cabra vzw,,België,,7
96,Sabbattini Mimetheater,Deurne (Antwerpen),België,,11
97,Abattoir Fermé,Mechelen,België,,96
98,Hogeschool Antwerpen / Hoger Instituut voor Dans (HID),Lier,België,,28
99,Flat Earth Society,Gent,België,,2
100,wpZimmer,Antwerpen,België,,107
101,Tandem asbl,Brussel,België,,3
102,Compagnie des Mutants,La Louvière,België,,6
103,Liaisons dangereuses,Antwerpen,België,,3
104,Theater Tenslotte,Brasschaat,België,,1
105,Kunstencentrum De Vlasbloem,Nieuwkerken-Waas,België,,1
106,Brandung,Oostende,België,,1
107,Artesis - Koninklijk Conservatorium Campus Studio,Antwerpen,België,,5
108,Lemmensinstituut - Hogeschool voor Wetenschap en Kunst,Leuven,België,,16
109,Compagnie Mossoux-Bonté,Bruxelles,België,,2
110,Krakatau,Gent,België,,3
111,Merlino vzw,Antwerpen,België,,2
112,Emanon Ensemble,Leuven,België,,4
113,Theatermakersgroep De Queeste,Genk,België,,41
114,Artesis Hogeschool Antwerpen,Antwerpen,België,,2
115,ChampdAction,Antwerpen,België,,5
116,Jeux Interdits Anc. Etabl.,Antwerpen,België,,3
117,La Cerisaie,,België,,1
118,Bureau des Arts,Bruxelles,België,,2
119,DE MAAN,Mechelen,België,,45
120,Kasteel van Gaasbeek,Gaasbeek,België,,1
121,Action Scénique,Antwerpen,België,,32
122,Woestijn 93,Berchem,België,,31
123,Vlaams Theater Instituut - VTi,Brussel,België,,1
124,Theaterbedrijf Het Woud,,België,,3
125,TEATERBARRIKADE ,Gent,België,,2
126,Feniks festival,Borgerhout (Antwerpen),België,,1
127,dust,Gent,België,,1
128,Bâtard,Brussel,België,,6
129,Toneelatelier,Aalst,België,,1
130,Frank Degruyter,Knesselare,België,,19
131,De Ingebeelden,Brussel,België,,1
132,Ballet Dommage,Gent,België,,6
133,The Other,Brussel,België,,33
134,Het Zesde Bedrijf,Antwerpen,België,,25
135,MaisonDahlBonnema,Brussel,België,,13
136,Kaaiman,Turnhout,België,,16
137,Anima Eterna,Brugge,België,,2
138,Koninklijke Nederlandse Schouwburg,Antwerpen,België,,14
139,Invasif vzw,Gent,België,,6
140,Teatertentog,Nijlen,België,,5
141,Brussel 2000,Brussel,België,,3
142,Beursschouwburg,Brussel,België,,14
143,NTGent,Gent,België,,235
144,Balsem vzw,,België,,2
145,GoodMove,Brussel,België,,30
146,Bronstig Veulen,Brussel,België,,16
147,Edward vzw,Antwerpen,België,,14
148,Müdts,Ardooie,België,,1
149,Het Kwartier,,België,,2
150,FONTH bvba,,België,,2
151,CAM TEATER- EN AUDIO-VIDEOPRODUKTIES,Asse,België,,1
152,Orfeo vzw,Brussel,België,,2
153,Zefiro Torna,Mechelen,België,,2
154,In Utero,Brussel,België,,4
155,Internationaal Straattheaterfestival vzw,Gent,België,,8
156,Archives et Musée de la Littérature,Brussel,België,,1
157,Bl!ndman,Brussel,België,,8
158,Dans in Kortrijk,Kortrijk,België,,7
159,De Theaterwerkplaats (PCT Dommelhof),Neerpelt,België,,17
160,Het Muziek LOD,Gent,België,,76
161,Theatermakersgroep Exprezzive,Hasselt,België,,3
162,Latitudes Lille Bruxelles,Bruxelles,België,,3
163,vzw Mechelen - Karel V,Mechelen,België,,1
164,Mathilde Speelt,Gent,België,,2
165,Compagnie Pierre Droulers,Sint-Jans-Molenbeek,België,,4
166,Maan en Zand,Mariakerke,België,,1
167,Drie Pees,Ranst,België,,10
168,A Two Dogs Company,Brussel,België,,23
169,Irma Firma,Brussel,België,,10
170,AMUZ,Antwerpen,België,,1
171,Theatermakershuis de Queeste,Hasselt,België,,38
172,Theater Vonk,Antwerpen,België,,1
173,Halles de Schaerbeek,Schaerbeek,België,,2
174,Vlaamse Opera,Antwerpen,België,,179
175,MartHa!tentatief,Mortsel,België,,66
176,Firefly,Brussel,België,,5
177,KC TheaterTeater,Mechelen,België,,1
178,tg STAN,Antwerpen,België,,220
179,APB De Warande,Turnhout,België,,12
180,Les Tanneurs,Bruxelles,België,,10
181,Radical Low / CYZ,Antwerpen,België,,10
182,Compagnie Jose Besprosvany,Sint-Gillis,België,,1
183,Alibi collectief,Schaarbeek,België,,36
184,De Veerman,Antwerpen,België,,3
185,Teater Zonder Toegevoegd Zout,Sint-Niklaas,België,,3
186,Collectif Malunés,Muizen,België,,6
187,HETPALEIS,Antwerpen,België,,289
188,Round Face vzw,Gent,België,,9
189,Limelight,Kortrijk,België,,25
190,CC De Kern,Wilrijk (Antwerpen),België,,14
191,Theater De Spiegel,Antwerpen,België,,99
192,Gommorah!,Gent,België,,1
193,Playerwater,Kapelle-op-den-Bos,België,,2
194,Theater Houtekop,Sint-Truiden,België,,14
195,Moldavië vzw / Randi De Vlieghe,,België,,4
196,Asansör,,België,,2
197,La petite fabrique,Brussel,België,,1
198,Compagnie Circ'Ombelico,Antwerpen,België,,4
199,GEN2020,Mechelen,België,,12
200,HETGEVOLG,Turnhout,België,,127
