,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
0,Jan Van Looy,110.0,,België,,52
1,Marianne Van Lindt,109.0,,België,,1
2,Marianne Pousseur,109.0,Sint-Jans-Molenbeek,België,,20
3,Annamirl Van Der Pluijm,109.0,Chitry les Mines,België,,63
4,William Huijghebaert,110.0,,België,,1
5,Philippe Henry,110.0,,Frankrijk,,1
6,Jan Viaene,110.0,,België,,1
7,Charles Dekeyser,110.0,,België,,6
8,Tom Mahieu,110.0,Mechelen,België,,4
9,Mimi De Wilde,109.0,BORGERHOUT,België,,17
10,Gilles Monnart,110.0,,België,,24
11,Pol De Braeckeleer,110.0,Gent,België,,23
12,Karsten Kroll,110.0,Antwerpen,België,,3
13,Catherine Graindorge,109.0,Elsene,België,,21
14,Gino Debeyne,110.0,IZEGEM,België,,1
15,Els Janssens,109.0,Wortegem-Petegem,België,,3
16,Witse Lemmens,110.0,,België,,3
17,Denise Daems,109.0,Antwerpen,België,,77
18,Eva Zwart,109.0,,Nederland,,2
19,Piet Mussche,110.0,Edegem,België,,18
20,Katrien Vergauwen,109.0,,België,,1
21,Johann Wolfgang von Goethe,110.0,,Duitsland,,41
22,Benjamin Bac,110.0,,België,,8
23,Dirk Ayelt Kooiman,110.0,,Nederland,,1
24,Carlo Bourguignon,110.0,,België,,52
25,Toussaint Kimbembi,110.0,,Congo,,1
26,Anna-Pia Capurso,109.0,Nijlen,België,,4
27,Sarah Roels,109.0,,België,,6
28,Hans Valke,110.0,,België,,6
29,Stéphane Olivier,110.0,Bruxelles,België,,46
30,Gerd Van Looy,110.0,Gent,België,,35
31,Karel Tuytschaever,110.0,,België,,33
32,Willy Dillen,110.0,Meerbeek (Kortenberg),België,,1
33,Ludovic Morlot,110.0,,België,,6
34,Tom Ternest,110.0,,België,,61
35,Joeri Hancké,110.0,Antwerpen,België,,28
36,Sjarel Branckaerts,110.0,Brussel,België,,120
37,Lilia Mestre,109.0,Brussel,België,,45
38,Madeleine Snijders,109.0,,België,,33
39,Roel Adam,110.0,Amsterdam,Nederland,,12
40,Norimasa Ushikawa,110.0,,Japan,,8
41,Catherine Dierckens,109.0,Sint-Pieters-Leeuw,België,,1
42,Geert Baeckelandt,110.0,Brugge,België,,1
43,Jef De Visscher,110.0,,België,,3
44,Eleanor Bauer,109.0,Brussel,België,,80
45,Laura Aernoudt,109.0,Oostende,België,,8
46,Ruud Alles,110.0,Turnhout,België,,282
47,Michel Vanderhaegen,110.0,,België,,2
48,Bettina Auer,109.0,Berlin,Duitsland,,6
49,Margerita Sanders,109.0,,België,,10
50,Kathleen Sterckx,109.0,,België,,1
51,Jacoba Dorothea (Coot) van Doesburgh,109.0,,Nederland,,4
52,Risa Yajima,109.0,Antwerpen,België,,5
53,Steve Beirnaert,110.0,Amsterdam,Nederland,,12
54,Janneken Stockman,109.0,,België,,1
55,Charline Adriaens,109.0,Wezembeek-Oppem,België,,1
56,Steve Paulet,110.0,,België,,4
57,Scarlet Tummers,109.0,,België,,6
58,Jozefien Grossen,109.0,,België,,1
59,Bea Thoelen,109.0,Schaarbeek,België,,2
60,Pol Van den Broek,110.0,,België,,10
61,Aisja Snoeck,109.0,Gent,België,,1
62,Peter De Graef,110.0,Antwerpen,België,,174
63,Frans Novak,110.0,,België,,1
64,Wouter Andries,109.0,Leuven,België,,2
65,Janie Gibson,109.0,,België,,4
66,Anna  Dewaele,109.0,,België,,1
67,Louis Van Beek,110.0,,België,,17
68,Jasmijn Lootens,109.0,,België,,2
69,Koen Onghena,110.0,Gent,België,,28
70,Anne Meeussen,109.0,Gent,België,,9
71,Stuart Sherman,110.0,New York,Verenigde Staten van Amerika,,7
72,Mohammed Gurkan,110.0,Liège,België,,1
73,Nadia Abdelouafi,109.0,,België,,19
74,Lisbeth Maes,109.0,,België,,1
75,Rik Teunis,110.0,Etterbeek,België,,113
76,Jozef Dewever,110.0,-,België,,43
77,Bob Van Den Bosch,110.0,,België,,5
